State,County,Cases,Deaths
Illinois,Edwards,611,13
Illinois,Henderson,534,23
Illinois,Calhoun,533,5
Illinois,Scott,501,1
Illinois,Putnam,493,4
Illinois,Alexander,484,11
Illinois,Gallatin,474,5
Illinois,Hardin,394,12
Illinois,Pope,337,4
Illinois,Unknown,0,443
Indiana,Marion,"104,923","1,870"
Indiana,Lake,"56,825","1,070"
Indiana,Allen,"42,618",720
Indiana,St. Joseph,"37,249",585
Indiana,Hamilton,"37,102",446
Indiana,Elkhart,"29,763",484
Indiana,Tippecanoe,"23,296",233
Indiana,Vanderburgh,"23,045",410
Indiana,Porter,"19,541",338
Indiana,Johnson,"18,777",408
Indiana,Hendricks,"18,036",343
Indiana,Madison,"13,444",365
Indiana,Clark,"13,432",207
Indiana,Vigo,"12,783",260
Indiana,LaPorte,"12,532",226
Indiana,Monroe,"12,470",181
Indiana,Delaware,"11,088",205
Indiana,Howard,"10,595",241
Indiana,Kosciusko,"9,745",128
Indiana,Hancock,"8,716",153
Indiana,Bartholomew,"8,244",162
Indiana,Warrick,"8,008",160
Indiana,Floyd,"7,958",186
Indiana,Grant,"7,741",188
Indiana,Wayne,"7,602",205
Indiana,Boone,"7,146",109
Indiana,Morgan,"6,886",147
Indiana,Marshall,"6,321",118
Indiana,Dubois,"6,252",119
Indiana,Cass,"6,086",113
Indiana,Shelby,"6,080",108
Indiana,Dearborn,"5,981",81
Indiana,Henry,"5,952",113
Indiana,Noble,"5,941",93
Indiana,Jackson,"5,136",78
Indiana,Lawrence,"4,883",130
Indiana,Gibson,"4,612",99
Indiana,Montgomery,"4,535",94
Indiana,Clinton,"4,520",60
Indiana,DeKalb,"4,510",88
Indiana,Harrison,"4,488",78
Indiana,Whitley,"4,134",45
Indiana,Huntington,"4,114",83
Indiana,Steuben,"4,094",62
Indiana,Miami,"4,039",73
Indiana,Jasper,"3,995",58
Indiana,Knox,"3,867",91
Indiana,Putnam,"3,828",62
Indiana,Wabash,"3,671",83
Indiana,Adams,"3,566",57
Indiana,Ripley,"3,507",72
Indiana,Jefferson,"3,400",87
Indiana,White,"3,388",55
Indiana,Daviess,"3,082",102
Indiana,Wells,"3,042",83
Indiana,Fayette,"2,994",66
Indiana,Decatur,"2,969",96
Indiana,Greene,"2,924",89
Indiana,Posey,"2,797",35
Indiana,Scott,"2,772",60
Indiana,LaGrange,"2,772",74
Indiana,Clay,"2,723",48
Indiana,Washington,"2,513",37
Indiana,Randolph,"2,499",84
Indiana,Spencer,"2,370",31
Indiana,Jennings,"2,368",51
Indiana,Fountain,"2,328",51
Indiana,Starke,"2,300",61
Indiana,Owen,"2,205",61
Indiana,Sullivan,"2,188",43
Indiana,Fulton,"2,076",45
Indiana,Jay,"2,040",35
Indiana,Carroll,"1,959",24
Indiana,Orange,"1,908",59
Indiana,Perry,"1,897",40
Indiana,Rush,"1,838",27
Indiana,Vermillion,"1,795",44
Indiana,Franklin,"1,732",36
Indiana,Tipton,"1,712",50
Indiana,Parke,"1,539",16
Indiana,Pike,"1,406",34
Indiana,Blackford,"1,388",32
Indiana,Pulaski,"1,228",48
Indiana,Newton,"1,218",38
Indiana,Benton,"1,089",15
Indiana,Brown,"1,053",43
Indiana,Crawford,"1,045",17
Indiana,Martin,928,15
Indiana,Warren,876,16
Indiana,Switzerland,825,8
Indiana,Union,762,11
Indiana,Ohio,581,11
Iowa,Polk,"58,891",646
Iowa,Linn,"21,448",342
Iowa,Scott,"20,426",250
Iowa,Black Hawk,"16,680",319
Iowa,Woodbury,"15,319",230
Iowa,Johnson,"14,736",86
Iowa,Dubuque,"13,595",213
Iowa,Dallas,"11,440",99
Iowa,Pottawattamie,"11,307",177
Iowa,Story,"10,828",48
Iowa,Warren,"5,920",92
Iowa,Clinton,"5,643",93
Iowa,Cerro Gordo,"5,622",97
Iowa,Webster,"5,389",96
Iowa,Sioux,"5,191",74
Iowa,Muscatine,"4,920",106
Iowa,Marshall,"4,914",79
Iowa,Des Moines,"4,782",75
Iowa,Jasper,"4,520",73
Iowa,Wapello,"4,366",123
Iowa,Buena Vista,"4,310",40
Iowa,Plymouth,"4,049",82
Iowa,Lee,"3,926",58
Iowa,Marion,"3,691",77
Iowa,Jones,"3,013",57
Iowa,Henry,"3,010",37
Iowa,Bremer,"2,927",63
Iowa,Carroll,"2,873",52
Iowa,Boone,"2,712",34
Iowa,Crawford,"2,708",41
Iowa,Benton,"2,627",55
Iowa,Washington,"2,598",51
Iowa,Dickinson,"2,507",45
Iowa,Mahaska,"2,337",51
Iowa,Jackson,"2,258",42
Iowa,Kossuth,"2,191",66
Iowa,Clay,"2,173",27
Iowa,Tama,"2,133",72
Iowa,Delaware,"2,117",43
